"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Managing Harmonics in Wind Power Plants Using the Control of Wind Turbines","I. Kucuk; T. Thangamani; M. I. Murkowska; M. Souvirta; S. Satheesh; F. N. K. Højgaard; C. Liu; C. L. Bak","Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Energy Technology, School of Electrical Engineering and Automation, Wuhan University, Aalborg, Denmark; Department of Energy Technology, Aalborg University, Aalborg, Denmark","2020 IEEE Power & Energy Society General Meeting (PESGM)","16 Dec 2020","2020","","","1","5","The integration of wind power in electricity generation introduces challenges on power quality issues. This paper proposes an algorithm to mitigate the harmonic distortion at the point of connection (PoC) of a wind power plant (WPP). Instead of opting to conventional method using passive filters to mitigate harmonics, this method only upgrades the control functions of the existing control systems of a WPP without additional investment. The mitigation algorithm performs the measurements at the PoC for a time window, which is transformed and analysed in frequency-domain. Then, it calculates the required harmonic current injections for selected wind turbine(s) to cancel the harmonics at PoC based on the frequency-dependent nodal analysis. To validate the algorithm, a generic WPP layout with multiple strings and field measurements of harmonic emission provided by Vestas Wind System A/S is used to simulate the harmonic propagation in the WPP using the MATLAB/Simulink along with PLECS Toolbox.","1944-9933","978-1-7281-5508-1","10.1109/PESGM41954.2020.9281458","Vestas; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9281458","Frequency-domain analysis;harmonic mitigation;nodal analysis","Frequency-domain analysis;Current measurement;Power quality;Wind power generation;Harmonic analysis;Wind turbines;Power harmonic filters","","3","","15","IEEE","16 Dec 2020","","","IEEE","IEEE Conferences"
"Decarbonizing Transport Sector in Thailand Towards 2050","B. Limmeechokchai; P. Winyuchakrit; P. Pita; H. Tatsuya","Sirindhorn International Institute of Technology, Thammasat University Klongluang, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University Klongluang, Pathum Thani, Thailand; Sirindhorn International Institute of Technology, Thammasat University Klongluang, Pathum Thani, Thailand; Center for Social and Environmental Systems Research, National Institute for Environmental Studies, Tsukuba, Japan","2022 International Conference and Utility Exhibition on Energy, Environment and Climate Change (ICUE)","4 May 2023","2022","","","1","7","The transport sector is one of the important contributors of increasing GHG emissions in Thailand. The implementation of emissions reduction in this sector, especially in the road transport, is a significant endeavor that can help to prevent increasing the average global surface temperature. However, the questions are how mitigation measures or mitigation policies are appropriate for reducing GHG emissions in the road passenger transport. Therefore, this study aims at formulating decarbonization pathway scenarios of Thailand's road transport. The studied period for GHG mitigation is 2015–2050. This study assesses the potential of GHG mitigation by the use of renewable energy and energy efficiency in Thailand's NDCs and identifies advance technologies and fuel substitution in the road transport sector in order to achieve the 1.5-degree global climate target. The Asia-Pacific Integrated Model/Enduse (AIM/Enduse) is selected for the analysis. The AIM/Enduse is developed by National Institute for Environmental Studies (NIES), Japan. It is employed to investigate the decarbonization pathways achieving 1.5-degree target during 2015–2050, extended from the Thailand's updated NDC2020. In addition to the BAU scenario, three GHG countermeasure scenarios are formulated for the transport sector in Thailand, namely the extended NDC 2050 (EX_NDC2050), full battery electric vehicle implementation (BEV) and full bio-fuels implementation (BIOF). Results suggests that the emission pathway in the EX_NDC2050 scenario will be higher than the 2-degree target in 2050. The Thailand's updated NDC 2020 in the transport sector are not in-line with the 2-degree and 1.5-degree targets. The emissions pathway of the transport sector will be in-line with the 2 -degree target when the battery electric vehicles (BEV) and bio-fuels are fully implemented. The 2-degree target can be achieved when the combined measures in the transport sector are implemented in the proportion of BEV to bio-fuels of 75:25 or 25: 75 vice versa. Finally, the policy implication on energy efficiency and CO2 emissions suggests that Thailand should increase the share of electric vehicles and the use of bio-fuels. Moreover, the government should encourage green electricity generation from cleaner technologies and renewable energy including transportation demand management.","","979-8-3503-3326-8","10.1109/ICUE55325.2022.10113536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113536","AIM/EndUse;Decarbonized Transport Sector;Electric Vehicles and Bio-fuels;Paris Agreement;Thailand","Temperature measurement;Renewable energy sources;Road traffic;Green products;Transportation;Low-carbon economy;Electric vehicles;Climate change;Biofuels","","","","39","IEEE","4 May 2023","","","IEEE","IEEE Conferences"
"An Improved H-Bridge Multilevel Inverter-Based Multiobjective Photovoltaic Power Conversion System","N. M. Chakkamath Mukundan; V. Kallaveetil; S. S. Kumar; J. Pychadathil","Departments of Electrical, and Electronics Engineering, Government College of Engineering Kannur, APJ Abdul Kalam Technological University, Thiruvananthapuram, Kerala, India; Departments of Electrical, and Electronics Engineering, Government College of Engineering Kannur, APJ Abdul Kalam Technological University, Thiruvananthapuram, Kerala, India; Departments of Electrical, and Electronics Engineering, Government College of Engineering Kannur, APJ Abdul Kalam Technological University, Thiruvananthapuram, Kerala, India; Departments of Electrical, and Electronics Engineering, Government College of Engineering Kannur, APJ Abdul Kalam Technological University, Thiruvananthapuram, Kerala, India","IEEE Transactions on Industry Applications","23 Nov 2021","2021","57","6","6339","6349","A rapid increase in solar photovoltaic (PV) technology-based electrical power generation is being witnessed in recent years to reduce greenhouse emissions and to meet the global energy demand. Power electronic converters are also improving in terms of power capacity, output power quality, and efficiency to interface the PV array and load. In this article, an improved H-bridge multilevel inverter (IHBMLI)-based PV power conversion system (PPCS) is proposed which integrates solar PV array with the existing distribution network. The five-level output voltage reduces the total harmonic distortion and the low switching frequency reduces overall losses. In addition to the real power injection, the proposed PPCS enhances the grid power quality in the distribution system. A single-input–multiple-output single-ended primary inductance converter is designed to track the maximum power from the solar PV array and realizes isolated dc sources for the MLI. The performance of the IHBMLI-based PPCS is verified using extensive simulation studies in the MATLAB/Simulink. The PPCS is demonstrating the power factor correction by reactive power support and harmonic mitigation of the grid. Moreover, the performances are validated with experimental results from a hardware prototype.","1939-9367","","10.1109/TIA.2021.3101465","TEQIP; Centre of Excellence in Systems Energy and Environment; Government College of Engineering, Kannur, Kerala, India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9503316","Multilevel inverter;power quality;solar photovoltaic (PV) generation;distribution network","Switches;Switching loss;Topology;Control systems;Power quality;Photovoltaic systems;Multilevel inverters","","4","","25","IEEE","2 Aug 2021","","","IEEE","IEEE Journals"
"Comparison of Methods for Determining Harmonic Distortion Contributions Using the IEEE Benchmark Test System","B. M. Gianesini; I. N. Santos; P. F. Ribeiro","Power Quality Research Group, Faculty of Electrical Engineering, Federal University of Uberlândia, Uberlândia, MG, Brazil; Power Quality Research Group, Faculty of Electrical Engineering, Federal University of Uberlândia, Uberlândia, MG, Brazil; Advanced Power Technologies Innovations in Systems and Smart Grids Group, Federal University of Itajubá, Itajubá, MG, Brazil","IEEE Transactions on Power Delivery","24 Jul 2023","2023","38","4","2398","2407","The growing use of nonlinear devices has raised the harmonic levels in power systems. A challenging power quality problem is determining how much each installation contributes to the harmonic voltages measured at a point of common coupling so that the costs of mitigation solutions can be fairly divided. Currently, there is still no practical worldwide established method to solve this problem. The IEEE PES Task Force on Harmonic Modeling and Simulation developed a Benchmark Test System to support this line of research. Therefore, this article uses the IEEE PES Benchmark to evaluate and compare harmonic contribution determination (HCD) methods. To do so, this Benchmark Test System was implemented in MATLAB/Simulink and used to test five HCD methods proposed in the literature under different network operating cases, including cases with background distortions and resonance. The methods are the Voltage Harmonic Vector Method, the IEC Method, the Dominant Impedance Method, the Capacitor Switching Method, and the Harmonic Current Injection Method. It has been found that the HCD methods generally led to similar contribution percentages, proving the convergence of the methodologies. In addition, an analysis of the methods’ sensitivity to input measurement errors was done.","1937-4208","","10.1109/TPWRD.2023.3242942","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil; PPGEELT/PROPP of Federal University of Uberlândia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10039686","Background distortion;benchmark testing;harmonic contribution determination;harmonic distortion;har- monic emission;power system harmonics;sharing of harmonic responsibility","Harmonic analysis;Power harmonic filters;Voltage measurement;Capacitors;Current measurement;Benchmark testing;Passive filters","","3","","30","IEEE","7 Feb 2023","","","IEEE","IEEE Journals"
"How Advanced Conductors are Improving the T&D System and Combating Climate Change","T. David; B. Dave","Public Policy CTC Global Corporation, Irvine, California; Director Technology, Public Policy CTC Global Corporation, Irvine, California","2022 IEEE/PES Transmission and Distribution Conference and Exposition (T&D)","18 Jul 2022","2022","","","01","04","While efforts continue to build a more robust, efficient, and reliable power grid to access more renewable generation resources and support increased electrification, this paper describes the numerous benefits of leveraging advanced conductor technology to further support decarbonization.","2160-8563","978-1-6654-4329-6","10.1109/TD43745.2022.9816899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816899","Grid Policy;Modernization;Efficiency;Reliability;Resilience;HTLS Conductors;Fire Mitigation;Transmission","Renewable energy sources;Climate change;Storms;Green products;Low-carbon economy;Conductors;Power grids;Energy efficiency;Fires;Resilience","","","","14","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"A Treatise on Impact of Renewables in the Power Market","A. Sanyal; A. K. Goswami; P. K. Tiwari; T. V. S. Kumar","Department of Electrical Engineering, NIT, Silchar, Silchar, India; Department of Electrical Engineering, NIT, Silchar, Silchar, India; Department of Electrical Engineering, MNNIT, Allahabad, Allahabad, India; Department of Electrical Engineering, NIT, Silchar, Silchar, India","2020 IEEE Students Conference on Engineering & Systems (SCES)","4 Nov 2020","2020","","","1","5","This paper aims to provide a deep insight on the necessity of renewables in the power market. The paper contain excerpt from the latest IRENA, World Energy Council and Climate action summit report on statistic and cost of renewable energy in the last decade. This paper provides an insight on the research articles on how energy scenario has changed, the impact of the energy scenario on the market and the integration of renewables. Also, this paper discusses the recent articles on the uncertainty mitigation of renewables. This paper also gives challenges faces by researchers and that are needed to overcome. This paper provides a direction for research in power market and what factors are to be considered.","","978-1-7281-9339-7","10.1109/SCES50439.2020.9236689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9236689","Energy Scenario;IRENA;World Energy Council (WEC);Renewable Energy;Power Market","Renewable energy sources;Uncertainty;Market research;Power markets;Faces;Meteorology","","","","28","IEEE","4 Nov 2020","","","IEEE","IEEE Conferences"
"Design of EMI Filter for Switched Mode Power supply","H. Darajit; C. Shuyu; R. T. Naayagi","School of EEE, Newcastle University, Singapore; Singapore Institute of Technology, Singapore; School of EEE, Newcastle University, Singapore","2020 3rd International Conference on Energy, Power and Environment: Towards Clean Energy Technologies","21 Apr 2021","2021","","","1","5","This paper presents a simplified Electromagnetic Interference (EMI) filter model to reduce high-frequency noise in the Switched-mode Power supply (SMPS) system. The objective is to design an EMI filter to eliminate the electromagnetic noise that could arise due to the solar power converter (DC-DC and DC-AC) and propagates through the grid. The filter could minimize the EM noise and improve the quality of the power that reaches the grid or to serve as a local load. In this paper, a non-linear source developed using PLECS simulation environment was the origin of the system noise disturbance. Noise injection parallel to the DC-DC converter was injected into the current source. The presented methodology provides sufficient data for EMI modelling and mitigation purposes. The model could also be adapted to further study the conducted and radiated emissions carried out in the system. The model of the noise source permitted various high-frequency injection at given times and assessed the efficiency of the EMI filter in EMI mitigation.","","978-1-6654-2536-0","10.1109/ICEPE50861.2021.9404385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404385","EMI filter;Suppression;SMPS;noise sources","Adaptation models;Simulation;Design methodology;Electromagnetic interference;Switched mode power supplies;DC-DC power converters;Reliability engineering","","1","","13","IEEE","21 Apr 2021","","","IEEE","IEEE Conferences"
"Assessment of Network Management Services Provided by Virtual Power Plants","C. Iraklis; I. P. Nikolakakos; S. Sgouridis","Research and Development Center Dubai, Electricity and Water Authority, Dubai, United Arab Emirates; Research and Development Center Dubai, Electricity and Water Authority, Dubai, United Arab Emirates; Research and Development Center Dubai, Electricity and Water Authority, Dubai, United Arab Emirates","2022 6th International Conference on Green Energy and Applications (ICGEA)","13 Jun 2022","2022","","","141","146","Distributed energy resources (DER) typically help to increase the share of Renewable Energy Systems (RES) in the energy mix and decrease emissions of the power system. Their location in the network and their capacity is generally based on optimization studies to minimize power losses and congestion, while balancing line loading and node voltages. The quantification of this impact in technical and economic terms may help define a tariff, or structure a payment scheme for DER owners, and an incentive to participate in the energy mix in systems where markets are absent, e.g. enabling third-party integration in mini-grids, or vertically integrated utilities. In addition, virtual power plants (VPP) can aggregate and coordinate these DERs to provide a single power profile as an aggregation service in return for a payment through an adjusted tariff structure. This study discusses a methodology to quantify the techno- economic benefit to the system, in an attempt to explore potential opportunities for VPP implementation. A modified, intentionally congested, IEEE 30 bus network is used, with solar PV and Battery Energy Storage Systems (BESS), to quantify the impact of aggregated DER coordination in terms of power losses and congestion mitigation. The network management services market for the VPP considers two use cases: the offset of fuel- based generation and the replacement of ’Peaker’ plants. A high-level approach for assigning an economic value to these technical benefits is also discussed, considering the impact of the size of the VPP and its share in the energy mix.","","978-1-6654-2052-5","10.1109/ICGEA54406.2022.9792025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792025","Network management;virtual power plant;mini-grid;flexibility;renewable energy","Economics;Renewable energy sources;Loading;Tariffs;Virtual power plants;Power systems;Planning","","","","10","IEEE","13 Jun 2022","","","IEEE","IEEE Conferences"
"How Firm Capacity and Forced Outage Rate Assumptions of Renewables Impact Capacity Expansion Model Results","A. M. Elshurafa; M. Petitet; F. A. Felder","King Abdullah Petroleum Studies and Research Center (KAPSARC), Riyadh, Saudi Arabia; King Abdullah Petroleum Studies and Research Center (KAPSARC), Riyadh, Saudi Arabia; King Abdullah Petroleum Studies and Research Center (KAPSARC), Riyadh, Saudi Arabia","2022 Saudi Arabia Smart Grid (SASG)","10 Aug 2023","2022","","","1","5","We assess how varying the firm capacity (FC) and forced outage rate (FOR) assumptions of renewable energy (RE) resources impact capacity expansion models (CEM). Eight scenarios that vary the FC and FOR, RE share targets, and annual RE uptake were run on a power system model of Saudi Arabia. Assuming a relatively high FC and relatively low FOR favors renewables (i.e., Optimistic-RE), while the opposite disfavors them (i.e., Pessimistic-RE). Compared with optimistic RE assumptions, the pessimistic RE assumptions result in significant increases reaching up to 11%, 17%, and 41% in costs, emissions, and battery storage deployment, respectively. However, no observable patterns were found in terms of resource adequacy. Quantifying the extent to which FC and FOR of RE technologies, which are considered heavily weather-dependent, impact investments in the power sector provides valuable insights for policymakers as the world moves forward more aggressively with RE deployment to reduce emissions and combat climate change.","","978-1-6654-7589-1","10.1109/SASG57022.2022.10199184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10199184","Battery Storage;Firm Capacity;Forced Outage Rate;LOLP;Power Modeling;Reliability;Renewables;Saudi Arabia;Solar PV;Wind","Renewable energy sources;Climate change;Costs;Batteries;Smart grids;Power system reliability;Reliability","","","","23","IEEE","10 Aug 2023","","","IEEE","IEEE Conferences"
"Optimizing Grid With Dynamic Line Rating of Conductors: A Comprehensive Review","N. H. Abas; M. Z. A. Ab Kadir; N. Azis; J. Jasni; N. F. Ab Aziz; Z. M. Khurshid","Advanced Lightning, Power and Energy Research Centre (ALPER), Faculty of Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Advanced Lightning, Power and Energy Research Centre (ALPER), Faculty of Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Advanced Lightning, Power and Energy Research Centre (ALPER), Faculty of Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Advanced Lightning, Power and Energy Research Centre (ALPER), Faculty of Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia; Institute of Power Engineering (IPE), Universiti Tenaga Nasional, Kajang, Selangor, Malaysia; Advanced Lightning, Power and Energy Research Centre (ALPER), Faculty of Engineering, Universiti Putra Malaysia, Serdang, Selangor, Malaysia","IEEE Access","22 Jan 2024","2024","12","","9738","9756","As the world is pledged towards net zero carbon by 2050, the need for clean and efficient energy transitions is more critical than ever. Optimizing the power grid transfer capacity is crucial for maintaining grid stability and reliability. Ageing infrastructure, population growth, and revolutionary technological developments increase the demand for grid modernization and resilience investments. Climate change and natural disasters highlight the need for adaptive load-shedding schemes. The two possible ways to optimize the grid are an ampacity increase or a voltage increase. While increasing voltage provides the most significant rise in rating, it comes with high investment costs. Out of all the options available, dynamic line rating (DLR) is the most efficient and cost-effective solution. This paper provides a comprehensive review of the optimization of the grid transfer capacity using DLR. The review critically examines different line rating methods, the DLR system, factors that need to be considered before DLR implementation, and its advantages and disadvantages. Also, the review presents the real-world applications and case studies, standards and regulations involved, and current approaches and challenges for implementing DLR in Malaysia. Additionally, we highlight the most commonly used standards to calculate the conductor’s ampacity for the steady-state and dynamic state. Moreover, this review work presents how DLR can advance the grid’s flexibility, considering its significance for cleaner energy production in the future, challenges related to wind energy power generation, and their mitigations. This work provides a shortcut path for researchers and utilities to understand DLR and as a reference for future research to advance clean energy in response to changing energy needs and climate conditions.","2169-3536","","10.1109/ACCESS.2024.3352595","Universiti Putra Malaysia and the Advanced Lightning, Power and Energy Research Centre (ALPER) through Inisiatif Putra Berkumpulan(grant numbers:GP-IPB/2022/9717002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10388287","Dynamic line rating;grid optimization;grid flexibility;ampacity;clean energy","Climate change;Net zero;Clean energy;Energy efficiency;Power system dynamics;Investment;Wind energy;Steady-state;Statistics;Stability criteria;Social factors;Resilience;Voltage control;Energy management","","","","229","CCBYNCND","11 Jan 2024","","","IEEE","IEEE Journals"
