"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Performance Analysis for Multi-Level Inverter with Reduced Switch Count Along with PWM Technique and Reduction in Harmonics","P. R; V. Juliet A; D. Savio A","Department of Electronics and Instrumentation Engineering, SRM Institute of Science and Technology and Sri Sairam Engineering College, Chennai; Department of Electronics and Instrumentation Engineering, SRM Institute of Science and Technology, Kattankulathur; Department of Electrical and Electronics Engineering, SRM Institute of Science and Technology, Kattankulathur","2023 Intelligent Computing and Control for Engineering and Business Systems (ICCEBS)","19 Mar 2024","2023","","","1","6","This research explores the design of a Multi-Level Inverter (MLI) with a reduced switch count while concurrently enhancing its performance and mitigating harmonic content. The investigation begins with the selection of the Diode-Clamped MLI topology for its inherent advantages in achieving multiple voltage levels with fewer switches. Sinusoidal Pulse Width Modulation (SPWM) techniques are employed to control the output voltage waveform, enabling precise voltage magnitude control. Selective Harmonic Elimination (SHE) strategies are implemented to mitigate harmonic content by selectively eliminating undesirable harmonics, significantly reducing Total Harmonic Distortion (THD). Genetic Algorithm (GA) optimization is utilized to fine-tune modulation indices and switching angles, leading to a substantial reduction in switch count. Experimental validation confirms the feasibility of the design, showcasing reduced switch count, enhanced performance, and minimized harmonic distortion. This research has profound implications for renewable energy integration, electric vehicle charging, industrial motor drives, grid stability, and power quality improvement, promoting sustainability and efficiency across diverse applications. Future directions encompass topology optimization, advanced control algorithms, energy storage integration, and cyber security considerations, ushering in a promising era of innovation in power electronics.","","979-8-3503-9458-0","10.1109/ICCEBS58601.2023.10449142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449142","Reduced Switch Count;Multi-Level Inverter;Harmonic Mitigation;Harmonic Elimination;Industrial Motor Drives;Pulse Width Modulation;Topology Selection","Switches;Pulse width modulation;Harmonic analysis;Multilevel inverters;Topology;Voltage control;Optimization","","","","15","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"108kWp Rooftop PV Solar Plant Designing, Installation and Analysis with Performance Measurements for Industrial Plant in Delhi-NCR","S. Bishla; A. Khosla","School of Engineering & Technology, Manav Rachna International Institute of Research & Studies, Faridabad, Haryana, India; School of Engineering & Technology, Manav Rachna International Institute of Research & Studies, Faridabad, Haryana, India","2024 3rd International conference on Power Electronics and IoT Applications in Renewable Energy and its Control (PARC)","4 Apr 2024","2024","","","269","274","Renewable energy is becoming one of the sustainability solutions for the future energy demand and regarding the industries, it is going to be mandatory for a long-term solution. Although grids are becoming healthier day by day and the World is moving towards Zero Carbon emissions. Most industries are running on fossil fuel Gensets, which is not an economical nor a long-term solution. In INDIA State Governments are encouraging and imposing PV Solar installation in industries to overcome the energy crisis in the coming times, as grids are becoming day by day more heavily loaded. A recent survey shows that Delhi is now the most polluted city in India resulting in the closing of all the thermal and gas power generation stations as they were creating pollution. To overcome this situation Grids, play a very important role as they are a single source to feed energy to industries, so to make the grid more powerful sustainable renewable energy sources need to be added as much as possible. During daytime energy demand is higher and PV solar is the best solution to meet this demand, industries need to take initiatives in this regard. The rooftop is the best location for any industry to install PV as the roof is the most ignored and underutilized space. With the help of PVSYS and STAAD software, we can find out the exact requirement and capacity of the structure to handle 170km/hr of wind pressure and also the dynamic load of the PV module. Capacity is calculated based on space available on the roof. The work represents a case study of with the whole project’s specifications. Identify the power quality problem that was noticed right after installation and the techniques of mitigation that were implemented in order to improve the system’s PQ.","","979-8-3503-0940-9","10.1109/PARC59193.2024.10486784","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10486784","Electric Vehicles;Grid Source;Solar Source;SPV;Renewable Energy Sources;Photovoltaic;Power Consumption;Rooftop Solar","Industries;Surveys;Renewable energy sources;Wind;Reactive power;Urban areas;Power quality","","","","23","IEEE","4 Apr 2024","","","IEEE","IEEE Conferences"
"Decarbonization Potential of Building Automation: Results of a German Study and Outlook","S. Beucker; S. Hinterholzer","Management, Research, Borderstep Institute for Innovation and Sustainability, Berlin, Germany; Research, Borderstep Institute for Innovation and Sustainability, Berlin, Germany","2022 International Conference on ICT for Sustainability (ICT4S)","19 Jul 2022","2022","","","119","127","Energy consumption for heating, cooling, and warm water production in the building sector is a major source of CO2 emissions in Europe. Building automation and control systems (BACS), using ICT-based monitoring and management applications to reduce energy consumption, have long been considered a key technology to improve efficiency in the building sector but CO2 abatement potential is unclear. Most studies on the technology either use a vague definition of BACS or calculate on the basis of insufficiently evaluated applications and efficiency potential. This paper builds on a study previously conducted by the authors that analyzed CO2 reduction potential (Mt CO2 emissions saved) from clearly defined application scenarios of BACS in the residential and non-residential building sectors in Germany. Effects were calculated using secured efficiency factors derived from standards (EN ISO 15232, etc.). The methodological approach and the results of this study were subsequently used to apply the ETSI/ITU framework, in particular to evaluate application scenarios of building automation. Through application of the ETSI/ITU framework, the authors also draw preliminary conclusions for CO2 mitigation strategies in the building sectors of other European member states by discussing possible use of the framework for other housing and heating structures.","","978-1-6654-8286-8","10.1109/ICT4S55073.2022.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9830089","ICT-based energy monitoring and management;building automation and control systems;decarbonization potential in the building sector","Energy consumption;Buildings;Europe;Water heating;Low-carbon economy;Control systems;Sustainable development","","","","25","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Deep Learning Forecaster-Based Controller for SVC: Wind Farm Flicker Mitigation","H. Samet; S. Ketabipour; M. Afrasiabi; S. Afrasiabi; M. Mohammadi","School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran; School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran; School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran; School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran; School of Electrical and Computer Engineering, Shiraz University, Shiraz, Iran","IEEE Transactions on Industrial Informatics","13 Jul 2022","2022","18","10","7030","7037","One of the major challenges in grid-connected wind farms is the flicker emission caused by the reactive power extremely short time variations. A general used solution is installing a static volt-ampere reactive (VAR) compensator (SVC) as the most cost-saving device, which still holds the risk of incomplete reactive power compensation subject to the operating delay time. To this end, an accurate extreme short-term reactive power forecasting structure is essential. Although there are many studies related to the forecasting of wind power in long, medium, and short terms, however, the extremely short-term reactive power prediction of the wind farms is only addressed in few studies. The main aim in this article is to develop a method based on the convolutional neural network (CNN) to directly learn nonstationary and complex features from the raw wind farm reactive power time series and to contribute a predictive controller to mitigate the voltage flicker through an SVC connected to the wind farm. However, high sensitivity of typical mean-squared-based loss functions might lead to considerable errors in the forecasting. To resolve this issue, a modified loss function is proposed to enhance the performance and, consequently, an improved CNN is presented. The evaluation of the proposed method is based on the actual recorded data of a wind farm in Manjil, Iran. The data are directly used in the modeling of the wind farm. A current source, which is based on the actual records its amplitude and phase angle change every 0.01 s, is utilized to model the wind farm. The numerical results in terms of flicker sensation and short-term flicker perceptibility (Pst) measurement are used to verify the performance of the proposed method through comparison with the wind farm performance without SVC and SVC with a common control system.","1941-0050","","10.1109/TII.2020.3025101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200680","Convolutional neural network (CNN);deep learning;static VAR compensator (SVC);voltage flicker;wind farm","Wind farms;Reactive power;Forecasting;Static VAr compensators;Voltage fluctuations;Machine learning;Time series analysis","","11","","36","IEEE","18 Sep 2020","","","IEEE","IEEE Journals"
"EMI Investigation and Mitigation of Flexible Flat Cables and Connectors","X. Yan; C. Wu; D. Zhang; S. Jin; S. Wu; J. Fan; C. Hwang","EMC Laboratory, Missouri University of Science and Technology, Rolla, MO, USA; EMC Laboratory, Missouri University of Science and Technology, Rolla, MO, USA; Google Inc., Mountain View, CA, USA; Google Inc., Mountain View, CA, USA; Google Inc., Mountain View, CA, USA; EMC Laboratory, Missouri University of Science and Technology, Rolla, MO, USA; EMC Laboratory, Missouri University of Science and Technology, Rolla, MO, USA","2021 IEEE International Joint EMC/SI/PI and EMC Europe Symposium","19 Oct 2021","2021","","","515","519","In modern mobile devices, as a result of the increase in data rate, requirement for higher density signal and cost-effective solution, the flexible flat cable (FFC) now plays an important role to connect separated printed circuit boards (PCBs). Due to the low-cost fabrication and varied shielding structure, FFC has been identified as a noise source for electromagnetic interference (EMI) and desense issues. In this paper, the common mode noise generated from FFC and related connectors is investigated. With the assistance of full wave and circuit simulation, main cause of the common mode noise has been identified as the ground discontinuity and the related voltage difference between the PCB ground and the FFC ground. By providing better shielding and improving ground continuity, 11 dB reduction of total radiation power (TRP) is observed at 5 GHz.","","978-1-6654-4888-8","10.1109/EMC/SI/PI/EMCEurope52599.2021.9559277","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9559277","Flexible flat cable;noise;ground discontinuity","Connectors;Fabrication;Circuit simulation;Electromagnetic interference;Printed circuits;Integrated circuit interconnections;Mobile handsets","","2","","9","IEEE","19 Oct 2021","","","IEEE","IEEE Conferences"
"Reducing Neutral Current of a higher EV Penetrated Unbalanced Distribution Grid","M. R. Islam; H. Lu; M. J. Hossain; L. Li","Faculty of Engineering and Information Technology, University of Technology Sydney Broadway, NSW, Australia; Faculty of Engineering and Information Technology, University of Technology Sydney Broadway, NSW, Australia; Faculty of Engineering and Information Technology, University of Technology Sydney Broadway, NSW, Australia; School of Engineering, Macquarie University, NSW, Australia","2019 9th International Conference on Power and Energy Systems (ICPES)","2 Jun 2020","2019","","","1","5","Electric vehicle (EV) penetration is rapidly increasing in the transport sector, which reduces carbon emissions and air pollutions. EVs are creating opportunities as well as challenges by integrating to electric power sectors. Due to the unbalance EV charging load in a three phase-four wire distribution grid, there exists neutral current as well as voltage unbalance at each node or measurement point of common coupling (PCC). Several researchers have assessed the impact of EV penetration on voltage and power quality. Moreover, a few research work has been done for reducing the neutral current in an unbalanced distribution grid with higher EV penetration till now. This paper proposes a method to reduce the neutral current at the supporting feeder, which is achieved by optimizing the voltage unbalance at the PCC. In this paper, this study will solve the neutral current overrating problem using Differential Evolution (DE) algorithm. Finally, the efficacy of the proposed method is evaluated by applying to a distribution grid. It is found that the proposed method can reduce the neutral current at the supporting feeder from 198.95 A to 19.45 A. The proposed method also reduces the neutral current at other nodes or PCCs up to 67.19%. The proposed method also reduces voltage imbalance and improve the voltage profile at each node.","","978-1-7281-2658-6","10.1109/ICPES47639.2019.9105630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105630","Optimal EV distribution;Voltage Unbalance Mitigation;Neutral current;Dynamic re-phasing;Differential Evolution.","","","2","","14","IEEE","2 Jun 2020","","","IEEE","IEEE Conferences"
"Enhancement of Power Quality in Domestic Loads Using Harmonic Filters","P. S. Sanjan; N. Gowtham; M. S. Bhaskar; U. Subramaniam; D. J. Almakhles; S. Padmanaban; N. G. Yamini","Department of Electrical and Electronics Engineering, Vidyavardhaka College of Engineering, Mysuru, India; Department of Electrical and Electronics Engineering, Vidyavardhaka College of Engineering, Mysuru, India; Department of Communications and Networks Engineering, College of Engineering, Renewable Energy Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; Department of Communications and Networks Engineering, College of Engineering, Renewable Energy Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; Department of Communications and Networks Engineering, College of Engineering, Renewable Energy Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; Department of Energy Technology, Aalborg University, Aalborg, Denmark; Department of Electrical and Electronics Engineering, Vidyavardhaka College of Engineering, Mysuru, India","IEEE Access","6 Nov 2020","2020","8","","197730","197744","This study deals with the mitigation of current harmonics, which is primarily important to alleviate power quality problems in modern times. Current harmonics produced by different widely used loads have been evaluated and related parameters have been tabled. Using the data obtained, a non-linear load was modelled to serve as the test load. Different mitigation solutions and techniques were studied to select an appropriate filter design for domestic single-phase application. The Active Power Filter (APF)'s steady-state and dynamic output was evaluated with reference current extraction techniques like PQ and SRF theories in Simulink. For a fair comparison, various parameters related to the filter design were kept identical between the tests conducted; and to test the dynamic performance, a highly inductive load was connected halfway through simulation. The reactive power compensation offered by the filter was studied by using various waveforms and parameters are investigated and tabulated. The study was carried out to identify a reference current extraction technique that yields the best performance and understand the implementation of the same to identify inherent issues that can sometimes be overlooked because of their simplicity and ease of implementation. The performance of two commonly used reference current extraction techniques were analyzed by subjecting it to highly non-linear and highly inductive loads that were modelled based on various loads that were analyzed.","2169-3536","","10.1109/ACCESS.2020.3034734","Renewable Energy Laboratory (REL), Department of Communications and Networks Engineering, College of Engineering, Prince Sultan University, Riyadh(grant numbers:11586); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244118","Harmonics;active filter;power quality;SMPS;THD;SRF-theory;PQ-theory;VFD","Power harmonic filters;Harmonic analysis;Power filters;Power quality;Active filters;Switches","","27","","25","CCBY","29 Oct 2020","","","IEEE","IEEE Journals"
"A Novel Energy Management System for Cruise Ships Including Forecasting via LSTM","P. Wei; S. Vogt; D. Wang; R. Elizondo Gonzalez; O. Yurdakul; S. Albayrak","Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Department of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany","2020 IEEE PES Innovative Smart Grid Technologies Europe (ISGT-Europe)","10 Nov 2020","2020","","","1050","1054","The massive scale of the greenhouse gas (GHG) emissions due to the operation of cruise ships creates an acute need to develop cruise ship energy management systems (EMSs) that explicitly assess and mitigate GHG emissions. Renewable resources (RRs)-albeit their ubiquity in recent years-pose key challenges that need to be addressed so as to be efficiently utilized by cruise ship EMSs. To this end, in this paper, we propose a cruise ship EMS that optimizes the operation of controllable generators, battery storage system (BSS), controllable loads, and diesel purchase. The proposed EMS contemplates three objectives: minimization of total costs, mitigation of GHG emissions, and minimization of travel time in the case of an emergency. The proposed EMS harnesses long short-term memory networks (LSTMs) to forecast the generation of integrated PV panels and uncontrollable loads, and utilizes the forecasts to determine the optimal operations. The results illustrate the capabilities and effectiveness of the proposed EMS.","","978-1-7281-7100-5","10.1109/ISGT-Europe47291.2020.9248787","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9248787","cruise ship;energy management system;forecasting;long short-term memory (LSTM);renewable resources","Temperature dependence;Predictive models;Minimization;Smart grids;Marine vehicles;Forecasting;Load modeling","","2","","20","IEEE","10 Nov 2020","","","IEEE","IEEE Conferences"
"Transformer-Based Nonlinear Equalization for DP-16QAM Coherent Optical Communication Systems","N. Gautam; S. V. Pendem; B. Lall; A. Choudhary","Bharti School of Telecommunication Technology and Management and the Ultra-Fast Optical Communications and High Performance Integrated Photonics (UFO-CHIP) Group, Indian Institute of Technology Delhi, New Delhi, India; Department of Electrical Engineering and the Ultra-Fast Optical Communications and High Performance Integrated Photonics (UFO-CHIP) Group, Indian Institute of Technology Delhi, New Delhi, India; Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Department of Electrical Engineering and the Ultra-Fast Optical Communications and High Performance Integrated Photonics (UFO-CHIP) Group, Indian Institute of Technology Delhi, New Delhi, India","IEEE Communications Letters","11 Mar 2024","2024","28","3","577","581","Compensating for nonlinear effects using digital signal processing (DSP) is complex and computationally expensive in long-haul optical communication systems due to intractable interactions between Kerr nonlinearity, chromatic dispersion (CD), and amplified spontaneous emission (ASE) noise from inline amplifiers. The application of machine learning architectures has demonstrated promising advancements in enhancing transmission performance through the mitigation of fiber nonlinear effects. In this letter, we apply a Transformer-based model to dual-polarisation (DP)-16QAM coherent optical communication systems. We test the performance of the proposed model for different values of fiber lengths and launched optical powers and show improved performance compared to the state-of-the-art digital backpropagation (DBP) algorithm, fully connected neural network (FCNN) and bidirectional long short term memory (BiLSTM) architecture.","1558-2558","","10.1109/LCOMM.2023.3344996","Department of Telecommunications - Advanced Optical Communications Testbed; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366247","Transformer;optical communications;nonlinear equalisation;machine learning;neural networks","Transformers;Feature extraction;Symbols;Computer architecture;Artificial neural networks;Training;Optical polarization","","","","17","IEEE","19 Dec 2023","","","IEEE","IEEE Journals"
"Nonlinear Distortion Mitigation via Coherent All-Optical Reservoir Computing for Long-Haul IM-DD transmission Systems","G. Peng; Y. Liu; Z. Li; K. Zhu; Z. Yang; J. Li; S. Zhang; Z. Huang; L. Zhang","Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; HMN Technologies Co., Ltd, Tianjin, China; HMN Technologies Co., Ltd, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China; Key Laboratory of Opto-electronic Information Technology of Ministry of Education and Tianjin Key Laboratory of Integrated Opto-electronics Technologies and Devices, School of Precision Instruments and Opto-electronics Engineering Tianjin University, Tianjin, China","2023 Asia Communications and Photonics Conference/2023 International Photonics and Optoelectronics Meetings (ACP/POEM)","1 Jan 2024","2023","","","1","5","Photonic reservoir computing (RC), as a promising paradigm of optical signal processing, has attracted a great deal of attention in fiber nonlinearity equalization recently. For real long-haul transmission scenarios, we propose an all-optical RC operated in a coherent scheme to mitigate the nonlinear distortion of high-speed signals. Compared with the direct decision architecture, the proposed RC can dramatically improve the $\mathrm{Q}^{2}$ factor by 2.6 $\text{dB}$ for a single-wavelength system and 1.9 $\text{dB}$ for a 7-channel wavelength-division multiplexing (WDM) system over 3960-km fiber transmission. Furthermore, the robustness of the coherent all-optical RC is also verified by conducting studies on different training sequences. The coherent all-optical RC shows great potential in real-time nonlinearity mitigation for long-haul fiber transmissions.","","979-8-3503-1261-4","10.1109/ACP/POEM59049.2023.10369906","National Key R&D Program of China(grant numbers:2019YFA0706300); National Natural Science Foundation of China(grant numbers:62105241); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369906","photonic reservoir computing;optical fiber communication;long-haul transmission;nonlinear equalization","Optical fibers;Training;Nonlinear distortion;Computer architecture;Wavelength division multiplexing;Reservoirs;Optical fiber communication","","","","20","IEEE","1 Jan 2024","","","IEEE","IEEE Conferences"
