"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Onera’s optical ground station for Geo Feeder links FEELINGS: in lab testing and on sky implementation","C. Petit; A. M. Bonnefois; E. Chalali; F. Gustave; K. Caillault; L. Krafft; Y. Lai-Tim; J. Montri; L. Paillier; P. Perrault; J. -B. Volatier; D. B. Dubosc; N. Védrenne","DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Palaiseau, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Châtillon, France; DOTA, ONERA Université Paris Saclay, Palaiseau, France; DOTA, ONERA Université Paris Saclay, Palaiseau, France; DOTA, ONERA Université Paris Saclay, Toulouse, France; DOTA, ONERA Université Paris Saclay, Châtillon, France","2023 IEEE International Conference on Space Optical Systems and Applications (ICSOS)","9 Apr 2024","2023","","","193","197","In the quest to establish efficient high-throughput communication links between ground-based facilities and Geostationary Earth Orbit (GEO) satellites, referred to as GEO-feeder links (GEO-FL), researchers are exploring optical technologies as a promising solution. The success of GEO-FL largely hinges on mitigating signal degradation caused by atmospheric turbulence. Adaptive optics (AO)-based pre-compensation has emerged as a game-changing approach, offering the potential to ensure consistent link budgets. However, this endeavor presents several challenges, including the need for precise calibration, turbulence mitigation through AO, addressing anisoplanatism, and integrating high-power sources compatible with Wavelength Division Multiplexing (WDM) and very high data rate modulation within a shared optical path. ONERA is at the forefront of tackling these challenges with its research-oriented optical ground station, FEELINGS (FEEder LINks optical Ground Station). FEELINGS aims to pioneer innovative concepts, components, algorithms, and thus to pave the way for future operational, high capacity and high efficiency OGS systems. Here, we provide insights into in-laboratory results and performance assessments, shedding light on the system’s development challenges and initial high-power laser performance tests, marking a significant milestone in the project’s progress. Additionally, the paper offers glimpses of the on-site implementation.","","979-8-3503-0790-0","10.1109/ICSOS59710.2023.10490280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10490280","Optical ground station;adaptive optics;optical feeder link","Integrated optics;Satellites;Optical design;Wavelength division multiplexing;Optical fiber communication;Adaptive optics;Optical modulation","","1","","6","IEEE","9 Apr 2024","","","IEEE","IEEE Conferences"
"On the Mitigation of WSS Filtering Penalties: Single- vs Multi-Carrier Modulation","P. A. Loureiro; A. Lorences-Riesgo; S. Mumtaz; M. S. Neves; D. Le Gac; T. -H. Nguyen; Y. Frignac; Y. Zhao; P. P. Monteiro; G. Charlet; S. Dris; F. P. Guiomar","Instituto de Telecomunicações, University of Aveiro, Aveiro, Portugal; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Instituto de Telecomunicações, University of Aveiro, Aveiro, Portugal; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Instituto de Telecomunicações, University of Aveiro, Aveiro, Portugal; Huawei Technologies France, Optical Communication Technology Lab, Boulogne-Billancourt, France; Huawei Technologies France, France; Instituto de Telecomunicações, University of Aveiro, Aveiro, Portugal","Journal of Lightwave Technology","8 Jun 2023","2023","41","11","3628","3634","The tight channel filtering imposed by long cascades of reconfigurable optical add-drop multiplexers (ROADMs) represents, nowadays, one of the major performance-limiting aspects for optically-routed coherent optical fiber systems. This makes it vital to perform a ROADM-aware optimization of the network performance at the physical layer. In particular, the use of different modulation options is known to have a strong impact on the extent of the filtering-induced penalties. In that regard, a long debate between single- and multi-carrier modulation has been taking place during the last few years, sometimes leading to apparently contradictory results. Following the open scientific discussion on this topic, in this work, we investigate by simulation and experimentally the wavelength selective switch (WSS) filtering tolerance of single-carrier (SC) and digital subcarrier multiplexing (DSCM) signals. In order to promote a fair comparison, both modulation options are carefully designed to minimize the ROADM-filtering penalties, namely resorting to the use of entropy loading together with baud rate optimization. After some preliminary numerical assessment, a comprehensive set of experiments are carried out for the transmission of 21-WDM 95–105 Gbaud SC and DSCM signals over a 2040 km straight line of fiber with regularly spaced WSSs. In general, our results allow to conclude that the two modulation options yield similar performance if the overall baud rate is optimized for each filtering scenario, keeping the baud rate at $\pm$5% of the optimized value.","1558-2213","","10.1109/JLT.2023.3259684","MSCA RISE programme through Project DIOR(grant numbers:10100828); Ph.D. Fellowship from FCT Grants(grant numbers:2021.06736.BD,UI/BD/151328/2021); Fellowship from la Caixa Foundation(grant numbers:100010434,LCF/BQ/PR20/11770015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077549","Multi-carrier;WSS filtering;probabilistic con- stellation shaping;variable roll-off;optical fiber communication","Bandwidth;Filtering;Loading;Clocks;Symbols;Optical switches;Optical fiber filters","","2","","22","IEEE","20 Mar 2023","","","IEEE","IEEE Journals"
"A Review of Recent Studies on Two-Frequency RF Field-Induced Single-Surface Multipactor Discharge","A. Iqbal; P. Y. Wong; D. -Q. Wen; J. P. Verboncoeur; P. Zhang","Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Computational Mathematics Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computational Mathematics Science and Engineering and the Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA","IEEE Transactions on Plasma Science","16 Nov 2021","2021","49","11","3284","3292","This article briefly reviews the theory and modeling of single-surface multipactor discharge on a dielectric, focusing on recent studies on two-frequency RF-field-induced multipactor. A novel multiparticle Monte Carlo simulation model with adaptive time steps is used to investigate the time-dependent physics of multipactor discharge. Two-frequency RF operation is found to be effective in reducing multipactor strength compared with single-frequency RF operation with the same total RF power. Strong multipactor mitigation is also demonstrated for nonsinusoidal RF fields of multiple frequencies. Migration of multipactor trajectory is shown for different configurations of the two-frequency RF field. Frequency-domain analysis shows that multipactor-induced normal surface charging electric field consists of only even harmonics of the RF frequency for single-frequency RF operation, but is dominated by strong intermodulation products of the RF carrier frequencies for two-frequency RF operation.","1939-9375","","10.1109/TPS.2021.3118919","Air Force Office of Scientific Research (AFOSR) Multidisciplinary University Research Initiative (MURI)(grant numbers:FA9550-18-1-0062,FA9550-21-1-0367); MSU Foundation Strategic Partnership Grant; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580743","Frequency-domain analysis;Monte Carlo (MC);multipactor;nonsinusoidal waveform;time-dependent physics;two-frequency","Radio frequency;Discharges (electric);Dielectrics;Monte Carlo methods;Frequency-domain analysis","","9","","90","IEEE","19 Oct 2021","","","IEEE","IEEE Journals"
"Hidden Markov Models based Anomaly Correlations for the Cyber-Physical Security of EV Charging Stations","M. Girdhar; J. Hong; T. -j. Song; Y. Yoo","Electrical and Computer Engineering, University of Michigan, Dearborn; Electrical and Computer Engineering, University of Michigan, Dearborn; Department of Urban Engineering, Chungbuk National University; Department of Urban Engineering, Chungbuk National University","2022 IEEE Power & Energy Society General Meeting (PESGM)","27 Oct 2022","2022","","","1","1","Over recent years, we have seen a significant rise in electric mobility to overcome the anthropogenic emissions by conventional gasoline vehicles. However, the prerequisite of smoothening of peaks and imbalances through bidirectional charging is concatenated with the undesired impacts on reliability and security of power system operation when there are probable intrusions in the eXtreme Fast Charging (XFC) station, hence destabilizing the charging networks. So this paper applies STRIDE based threat modeling to analyze and identify multiple potential threats endured by the cyber-physical system (CPS) of XFC station by using weighted attack defense tree. Potential mitigation strategies are then suggested for the identified severe threats. In addition, this paper also develops a stochastic probabilistic tool, the Hidden Markov Model (HMM) for modeling the security attacks for a given range of identified attack vectors and hence employing an appropriate defense strategy against the malicious hacker. Also, a weighted attack defense tree has been developed to generate various attack scenarios. In the end, the results of the proposed work are substantiated and validated if it is able to considerably improve overall charging efficiency and cyber-physical security of the charging station network.","1944-9933","978-1-6654-0823-3","10.1109/PESGM48719.2022.9917219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917219","","Hidden Markov models;Stochastic processes;Reliability;Probabilistic logic;Power system reliability;Petroleum;Electric vehicle charging","","1","","","IEEE","27 Oct 2022","","","IEEE","IEEE Conferences"
"On the Ring Resonator-Based Dispersion Compensation Method for Analog 5G/B5G Mobile Fronthauling","P. Toumasis; G. Giannoulis; G. Poulopoulos; K. Kanta; D. Apostolopoulos; H. Avramopoulos","School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece; School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece; School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece; School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece; School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece; School of Electrical and Computer Engineering, National Technology University of Athens, Zografou, Greece","Journal of Lightwave Technology","29 Mar 2021","2021","39","6","1662","1671","We present a novel technique for dispersion compensation by exploiting the filtering properties of a fully reconfigurable serially coupled microring resonator (MRR) structure in analog intermediate frequency-over-fiber/mmWave (IFoF/mmWave) fiber/wireless 5G and beyond 5G(B5G)-oriented mobile fronthaul. To this extend, we demonstrate simulation and experimental results on analog photonic processing of 1 Gbaud quadrature phase shift keying (QPSK) modulated radio signal. By tuning filter's bandwidth in the range of 14–69 GHz, and resonance within a resonance free spectral range (FSR) range, dispersion induced power fading mitigation was achieved, for a set of widely adopted intermediate frequencies (IFs) and transmission distances. Analytical calculations carried out in MATLAB environment, highlighting significant improvement of transmission system output power, whereas are verified via transmission system simulations, resulting to error vector magnitude (EVM) improvement up to ∼ 30%. Experimental results verified both analytical and transmission simulation results for a series of IFoF downlink transmission system configurations. For widely used wireless transmission configuration at 8.5 GHz IF, by tuning the filter to appropriate bandwidth of 14 GHz and resonance peak properly, successful fiber wireless transmission for over 25 km of fiber was demonstrated, achieving 16.9% EVM for QPSK, below the 3GPP (<17.5%) requirements for 5G NR.","1558-2213","","10.1109/JLT.2020.3042056","European Commission through H2020 5GPPP Phase III project 5G-COMPLETE(grant numbers:871900); 5GPPP Phase II Project 5G-PHOS(grant numbers:761989); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9277509","Analog optical signal processing;Analog radio-over-fiber;dispersion compensation;integrated photonics;microring resonators;millimeter wave radio;mobile fronthaul;optical filters;silicon photonics","Optical fibers;Optical fiber dispersion;Optical fiber filters;Optical signal processing;Optical modulation;Optical ring resonators;Resonator filters","","4","","42","EU","2 Dec 2020","","","IEEE","IEEE Journals"
"Dual-Polarization NFDM Transmission With Continuous and Discrete Spectral Modulation","F. Da Ros; S. Civelli; S. Gaiarin; E. P. da Silva; N. De Renzis; M. Secondini; D. Zibar","Department of Photonics Engineering, Technical University of Denmark, Kongens Lyngby, Denmark; Scuola Superiore Sant’Anna, TeCIP Institute, Pisa, Italy; Department of Photonics Engineering, Technical University of Denmark, Kongens Lyngby, Denmark; Department of Photonics Engineering, Technical University of Denmark, Kongens Lyngby, Denmark; Department of Photonics Engineering, Technical University of Denmark, Kongens Lyngby, Denmark; Scuola Superiore Sant’Anna, TeCIP Institute, Pisa, Italy; Department of Photonics Engineering, Technical University of Denmark, Kongens Lyngby, Denmark","Journal of Lightwave Technology","19 Apr 2019","2019","37","10","2335","2343","Nonlinear distortion experienced by signals during their propagation through optical fibers strongly limits the throughput of optical communication systems. Recently, a strong research focus has been dedicated to nonlinearity mitigation and compensation techniques. At the same time, a more disruptive approach, the nonlinear Fourier transform, aims at designing signaling schemes more suited to the nonlinear fiber channel. In a short period, impressive results have been reported by modulating either the continuous spectrum or the discrete spectrum. Additionally, very recent works further introduced the opportunity to modulate both spectra for single polarization transmission. Here, we extend the joint modulation scheme to dual-polarization transmission by introducing the framework to construct a dual-polarization optical signal with the desired continuous and discrete spectra. After a brief analysis of the numerical algorithms used to implement the proposed scheme, the first experimental demonstration of dual-polarization joint nonlinear frequency division multiplexing modulation is reported for up to 3200 km of low-loss transmission fiber. The proposed dual-polarization joint modulation schemes enables to exploit all the degrees of freedom for modulation (both polarizations and both spectra) provided by a single-mode fiber.","1558-2213","","10.1109/JLT.2019.2904102","H2020 European Research Council(grant numbers:771878); Conselho Nacional de Desenvolvimento Científico e Tecnológico(grant numbers:432214/2018-6); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8664111","Inverse scattering transform;nonlinear frequency division multiplexing;nonlinear Fourier transform;raman amplification","Modulation;Time-domain analysis;Dispersion;Nonlinear optics;Optical polarization;Fourier transforms;Optical distortion","","46","","44","IEEE","10 Mar 2019","","","IEEE","IEEE Journals"
"Optimizing microstrip antennas and antenna arrays using evolutionary algorithms","K. Illyés; E. Kiss; Á. Novák; I. Skublics; I. Balajti","Faculty of Engineering, University of Debrecen, Debrecen, Hungary; Faculty of Engineering, University of Debrecen, Debrecen, Hungary; Faculty of Engineering, University of Debrecen, Debrecen, Hungary; Faculty of Engineering, University of Debrecen, Debrecen, Hungary; Faculty of Engineering, University of Debrecen, Debrecen, Hungary","2022 IEEE 20th International Power Electronics and Motion Control Conference (PEMC)","1 Dec 2022","2022","","","530","535","This paper uses a genetic algorithm to present the mechatronics engineering approach challenges of a 5.1 GHz linear array patch microstrip antenna (PMA). The PMAs are critical elements of the sensor and communication devices of the Cyber-Physical Systems (CPS). To find the optimum among differently oriented CPS antenna pattern requirements such as antenna beam control of physical radar emissions and receives in complex environmental conditions or interference mitigation can be found effectively using evolutionary algorithms. The presented method investigates, produces, and breeds PMA layouts for expected antenna performance while keeping the complexity of the code as low as possible and ensuring ease of manufacture. Furthermore, the unique PMA layout provides a direct insight into the workings of the optimization process, which shows added educational potential.","2473-0165","978-1-6654-9681-0","10.1109/PEMC51159.2022.9962906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962906","microstrip antenna;Cyber-Physical Systems optimization;Genetic Algorithm;Phased Array","Microstrip antenna arrays;Layout;Receiving antennas;Microstrip antennas;Evolutionary computation;Directive antennas;Radar antennas","","4","","32","IEEE","1 Dec 2022","","","IEEE","IEEE Conferences"
"Active Wavelength Load as a Feature for QoT Estimation Based on Support Vector Machine","A. A. Diaz-Montiel; S. Aladin; C. Tremblay; M. Ruffini","CONNECT Centre, Trinity College, Dublin, Ireland; Network Technology Lab, Ecole de technologie superieure, Canada; Network Technology Lab, Ecole de technologie superieure, Canada; CONNECT Centre, Trinity College, Dublin, Ireland","ICC 2019 - 2019 IEEE International Conference on Communications (ICC)","15 Jul 2019","2019","","","1","6","Reconfiguration procedures in optical transmission systems assisted with artificial intelligence (Al) present an innovative approach towards the mitigation of network resources mismanagement. Regression and classification tools have been studied in recent years with the aim to predict performance metrics such as Bit Error Rate (BER) and Optical Signal-to-Noise Ratio (OSNR). We have generated synthetic OSNR labeled data, which has been used for training a Support Vector Machine (SVM) classifier, in order to predict the OSNR performance upon provisioning a wavelength channel (lightpath). Information on the active lightpaths in the network is used to train the learning model, together with network topology configuration features. Our results demonstrate a 96.2% multi-class classification accuracy to predict QoT of unestablished lightpaths in topology independent (generic) scenarios.","1938-1883","978-1-5386-8088-9","10.1109/ICC.2019.8761369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8761369","","Support vector machines;Optical fiber networks;Erbium-doped fiber amplifiers;Optical fibers;Optical noise;Stimulated emission","","10","","22","IEEE","15 Jul 2019","","","IEEE","IEEE Conferences"
"Digital Predistortion for Multiuser Hybrid MIMO at mmWaves","A. Brihuega; L. Anttila; M. Abdelaziz; T. Eriksson; F. Tufvesson; M. Valkama","Department of Electrical Engineering, Tampere University, 33720 Tampere, Finland; Department of Electrical Engineering, Tampere University, 33720 Tampere, Finland; Zewail City of Science and Technology, Giza, Egypt; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Electrical and Information Technology, Lund University, Lund, Sweden; Department of Electrical Engineering, Tampere University, 33720 Tampere, Finland","IEEE Transactions on Signal Processing","25 Jun 2020","2020","68","","3603","3618","Efficient mitigation of power amplifier (PA) nonlinear distortion in multi-user hybrid precoding based broadband mmWave systems is an open research problem. In this article, we carry out detailed signal and distortion modeling in broadband multi-user hybrid MIMO systems, with a bank of nonlinear PAs in each subarray, while also take the inevitable crosstalk between the antenna/PA branches into account. Building on the derived models, we adopt and describe an efficient closed-loop (CL) digital predistortion (DPD) solution that utilizes only a single-input DPD unit per transmit chain or subarray, despite crosstalk, providing thus substantial complexity-benefit compared to the state-of-the art multi-dimensional DPD solutions. We show that under spatially correlated multipath propagation, each single-input DPD unit can provide linearization towards every intended user, or more generally, towards all spatial directions where coherent propagation is taking place, and that the adopted CL DPD system is robust against crosstalk. Extensive numerical results building on practical measurement-based mmWave PA models are provided, demonstrating and verifying the excellent linearization performance of the overall DPD system in different evaluation scenarios.","1941-0476","","10.1109/TSP.2020.2995972","Academy of Finland(grant numbers:304147,301820,326405,319994); Tampere University Doctoral School; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097919","Crosstalk;digital predistortion;hybrid MIMO;large-array transmitters;millimeter wave communications;multi-user MIMO;nonlinear distortion;out-of-band emissions;power amplifiers","Nonlinear distortion;Array signal processing;MIMO communication;Crosstalk;Antenna arrays;Transmitters;Broadband antennas","","37","","54","IEEE","21 May 2020","","","IEEE","IEEE Journals"
"Adapting Hydropower Operations to Support Renewable Energy Transitions and Freshwater Sustainability in the Columbia River Basin","G. Allen; S. Lin; A. Llewellyn; A. Pillai; E. Zarzyski; S. Singh; J. Quinn",NA; NA; NA; NA; NA; NA; NA,"2023 Systems and Information Engineering Design Symposium (SIEDS)","31 May 2023","2023","","","319","324","There is unequivocal evidence that the Earth is warming at an unprecedented rate, and that the burning of fossil fuels is the principal cause. This situation is fostering a growing interest in shifting global energy production toward renewable energy sources such as solar, wind, and hydropower. Hydropower plays an important role in meeting global carbon mitigation targets and eventually achieving net-zero carbon emissions, especially within the Mid-Columbia (Mid-C) energy market in the Pacific Northwest (PNW), where hydropower currently comprises 50-65% of its generation. However, other renewable energy sources in the Mid-C market and connected California Independent System Operator (CAISO) power grid are expanding significantly, particularly solar power in California (CA). Thus, hydropower operations at plants within the connected Mid-C market may need to be re-operated to balance the more intermittent supply from renewables in CA so that energy supplies are in phase with demands. In this study, our goal is to re-design hydropower operations in the Columbia River Basin (CRB) of the PNW to achieve a 95% renewable energy power grid in CA and the PNW by the year 2035. This will require not only filling supply gaps from other renewable energy sources, but also balancing other conflicting objectives to be fulfilled by the dam operations, such as minimizing environmental spill violations, maximizing hydropower production, maximizing flood protection, and maximizing economic benefits. We use multi-objective optimization to design alternative operations at four CRB dams to balance these objectives over the historical record. We then simulate their operations over alternative possible future climate change and energy development scenarios to find a recommended set of operations that are robust to these uncertainties. The energy scenarios include the National Renewable Energy Lab’s (NREL) Mid-Case Energy Scenario for the years 2025, 2030 and 2035, which achieve 95% Renewables by 2035, as well as a business as usual (BAU), or base case, scenario represented by the historical energy mix. The four climate scenarios are made from combinations of low or high warming and low or high streamflow for three overlapping time steps: 2020-2029, 2025-2034, and 2030-2039. Our optimization is able to find a robust compromise policy that balances the system’s conflicting objectives well both now and in the future. We close by exploring how this policy coordinates operations across system reservoirs, which could inform reservoir operators in the CRB about how to adapt operations as the system changes in the future.","","979-8-3503-0064-2","10.1109/SIEDS58326.2023.10137810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137810","","Renewable energy sources;Uncertainty;Dams;Hydroelectric power generation;Production;Reservoirs;Power grids;Climate change","","","","18","IEEE","31 May 2023","","","IEEE","IEEE Conferences"
