"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Electric Vehicle Charging Station Infrastructure: A Comprehensive Review of Technologies, Challenges, and Mitigation Strategies","A. K. M. Yousuf; Z. Wang; R. Paranjape; Y. Tang","Electronic Systems Engineering, University of Regina, Regina, Canada; Electronic Systems Engineering, University of Regina, Regina, Canada; Electronic Systems Engineering, University of Regina, Regina, Canada; Environmental Systems Engineering, University of Regina, Regina, Canada","2023 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE)","26 Oct 2023","2023","","","588","592","The increasing popularity and rising number of electric vehicles have resulted in extensive demand for efficient, reliable, and effective infrastructures of electric vehicle charging stations (EVCSs). However, the development and implementation of such infrastructure pose severe challenges towards the power quality, security, and stability of the power system. This paper presents a holistic understanding of the challenges, mitigation approaches, and available technologies and protocols related to EVCS network deployment. This review aims to provide insights to develop sustainable and efficient EVCS infrastructure while overcoming the challenges and optimizing the benefits.","2576-7046","979-8-3503-2397-9","10.1109/CCECE58730.2023.10289005","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10289005","Electric Vehicle;EV charger;EV Charging Station;Power Quality","Protocols;Pollution;Power quality;Power system stability;Electric vehicle charging;Power system reliability;Planning","","1","","34","IEEE","26 Oct 2023","","","IEEE","IEEE Conferences"
"Mitigation and Identification of the Cause of Radiated Emissions in an 8 Gbps High-Speed System","A. Khoshniat; R. Abhari","Dept. of Electrical Engineering, Santa Clara University, Santa Clara, CA, United States; Dept. of Electrical Engineering, Santa Clara University, Santa Clara, CA, United States","2019 IEEE International Symposium on Electromagnetic Compatibility, Signal & Power Integrity (EMC+SIPI)","5 Sep 2019","2019","","","400","405","This paper studies the impact of signal integrity issues related to rise/fall time and delay imbalance in differential traces of an 8 Gbps high-speed system in generation of excess radiated emissions at 8 GHz. Since modification of layout and system specifications are not possible at the final stages of system development, a custom-designed Frequency Selective Surface (FSS) absorber is used to reduce the emissions. The effectiveness of this solution is determined in comparison with a commercially available microwave absorber. This evaluation is conducted by observing the return loss and coupling between active sources on a mock-up system board and measuring radiated emissions outside the enclosure box containing the system board. An improved EMC scan set up is developed in-house for over the air radiation pattern measurements. The experimental results closely match simulations and all prove the superior performance of the custom-designed FSS absorber.","","978-1-5386-9199-1","10.1109/ISEMC.2019.8825293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8825293","electromagnetic compatibility;frequency selective surfaces;metamaterial;microwave absorber;mitigation of radiated emissions;radiated emissions","Frequency selective surfaces;Couplings;Microwave measurement;Delays;Mathematical model;Feeds;Crosstalk","","2","","7","IEEE","5 Sep 2019","","","IEEE","IEEE Conferences"
"Bi-Level Carbon Trading Model on Demand Side for Integrated Electricity-Gas System","Z. Yan; C. Li; Y. Yao; W. Lai; J. Tang; C. Shao; Q. Zhang","State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security, Chongqing University, Chongqing, China","IEEE Transactions on Smart Grid","21 Jun 2023","2023","14","4","2681","2696","With the exploration of deep decarbonization around the world, it has become a broad consensus that the carbon trading mechanism can promote the low-carbon operation of the energy system by exploring the underlying driver of emissions. The end-users, as the motivator of emission in the integrated electricity-gas system (IEGS), have not been developed so far to participate in the carbon market and help emissions abatement. This paper proposes a bi-level carbon trading scheme on demand side considering the energy consumption level of users and low-carbon demand response. In the upper-level market, an optimal step-based carbon prices customization model is built to impose differentiated incentives on users, thereby balancing the emission mitigation and social welfare. In the lower-level market, a carbon trading mechanism based on the competitive auction program is proposed, then an optimal carbon trading strategy is studied to maximize the consumer surplus and further motivate the low-carbon energy consumption. On the source side, a low-carbon dispatching model of IEGS considering the flexible carbon capture power plant and power-to-gas (CCPP-P2G) is established. Moreover, the Benders decomposition algorithm is used to solve the bi-level optimal model. Case studies verify the feasibility of carbon trading on demand side and demonstrate the environmental and economic benefits of the proposed bi-level carbon trading mechanism.","1949-3061","","10.1109/TSG.2022.3229278","National Natural Science Foundation of China(grant numbers:52177073); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9987539","Integrated electricity-gas system;carbon trading;step-based carbon prices;competitive auction;benders decomposition","Carbon dioxide;Emissions trading;Energy consumption;Demand response;Carbon tax;Costs;Dispatching","","15","","23","IEEE","15 Dec 2022","","","IEEE","IEEE Journals"
"Renewable Energy Curtailment Reduction for California","S. Saha; V. J. Sriprasath; M. R. Ashwin; B. Shivram; A. G. Kumar","Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India","2021 International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)","6 Apr 2021","2021","","","1","7","One of the major and growing problems in the electric grid is the integration of large scale Renewable Energy (RE) sources with conventional energy sources. Curtailment of RE generation is also an increasing concern in the electric power system. At present, a large amount of both wind and solar energy generation is connected to the power systems in California. This imposes new challenges in the grid and leads to curtailment of renewable energy resources. This paper presents solutions for reducing RE curtailment in California. The optimal energy management problem for minimizing RE Curtailment is formulated as a resource allocation and scheduling problem based on the actual supply-demand scenario in California in 2020. A quantitative study of the RE curtailment reduction potential in California is developed based on various existing and envisaged opportunities in the state. RE curtailment is reduced by first controlling the output of the Hydro Power Plant, then the reduced curtailed energy is exported to other grids who require power especially during peak demand intervals. The remaining curtailment energy is then stored into an Energy Storing System (ESS) typically being Battery. The curtailment reduction algorithm is developed usingMATLAB.","","978-1-7281-5791-7","10.1109/ICAECT49130.2021.9392581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9392581","Power Generation Dispatch;Renewable Energy Curtailment;Hydropower plant;Energy Storage System;Uncertainty;Power System Economics;Transmission Congestion","Wind energy generation;Renewable energy sources;Wind power generation;Power systems;Batteries;Resource management;Energy management","","4","","25","IEEE","6 Apr 2021","","","IEEE","IEEE Conferences"
"Evaluating the Effectiveness of Clean Energy Technologies (Renewables and Nuclear) and External Support for Climate Change Mitigation in Ghana","M. A. Nyasapoh; S. Gyamfi; S. K. Debrah; H. A. Gaber; N. S. A. Derkyi","Department of Energy and Petroleum Engineering, School of Energy, University of Energy and Natural Resources (UENR), Sunyani, Ghana; Department of Energy and Petroleum Engineering, School of Energy, University of Energy and Natural Resources (UENR), Sunyani, Ghana; Nuclear Power Institute, Ghana Atomic Energy Commission, Accra; Smart Energy Systems Lab (SESL), and Advanced Plasma Engineering Lab (APEL) Faculty of Energy Systems and Nuclear Science, and Faculty of Engineering and Applied Science, Ontario Tech University, Ontario, Canada; School of Engineering, University of Energy and Natural Resources (UENR), Sunyani, Ghana","2023 IEEE 11th International Conference on Smart Energy Grid Engineering (SEGE)","10 Oct 2023","2023","","","167","171","The selection of appropriate electricity generation strategies is crucial in reducing greenhouse gas emissions and promoting a low-carbon economy. Assessing the effectiveness of clean energy technologies and external support in Ghana’s climate change mitigation is crucial for sustainable development. This study focuses on Ghana’s commitment to emission reduction goals outlined in the country’s Energy Transition Framework, Nationally Determined Contributions (NDC) and the Fourth National Communication (NC4) under the United Nations Framework Convention on Climate Change (UNFCCC). These goals recognize the significance of external assistance in achieving a conditional 30% reduction target, along with an unconditional 15% reduction strategy. By utilizing the IAEA MESSAGE model, a comprehensive quantitative analysis is conducted to assess the effectiveness of additional installed capacity of clean energy technologies, mainly renewables and nuclear energy, in mitigating climate change, considering the role of external support. The results highlight the need for a transition from fossil fuel-based sources to low-carbon alternatives such as renewables and nuclear energy to meet emission reduction targets and promote sustainable development. Also, despite the higher investment cost associated with the additional installed capacity, the mitigation measures deployed in the electricity system reduced CO2 emissions by 15% (4,142.2 kilotons). Furthermore, the study emphasizes the importance of additional clean energy capacity to meet the growing electricity demand, facilitated by external aid. The findings provide valuable insights into best practices and strategies for achieving sustainable development goals in Ghana and can inform policy decisions and support sustainable energy development in other developing countries.","2575-2693","979-8-3503-4071-6","10.1109/SEGE59172.2023.10274595","International Atomic Energy Agency; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10274595","energy transition;Nationally Determined Contributions;United Nations Framework Convention on Climate Change;MESSAGE model;sustainable development;energy policy","Climate change;Energy management;Sustainable development;Government policies;Power generation planning;Greenhouse effect","","","","28","IEEE","10 Oct 2023","","","IEEE","IEEE Conferences"
"An Approach to Calculate Marginal CO2 Emissions Factor Based on Historical Emissions","A. Rabiee; S. A. Alavi; A. Keane; J. McCann","School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Energy Institute, University College Dublin, Dublin, Ireland; Research and Technology Department, Sustainable Energy Authority of Ireland (SEAI), Dublin, Ireland","2023 58th International Universities Power Engineering Conference (UPEC)","1 Nov 2023","2023","","","1","5","Assessing the effectiveness of climate action policies enacted by governments is crucial in addressing the challenges of climate change. In this regard, marginal carbon emissions could be employed as an evaluation factor. This paper introduces a mathematical approach to compute the marginal emissions factor at a quarter-hourly resolution. The method relies on readily available average emissions factors derived from the generation schedule and corresponding fuel mix. Leveraging publicly accessible datasets from the Irish transmission system operator's data portal, the approach incorporates historical mean carbon intensity time series and system generation data. Our findings reveal that even minor fluctuations in demand could lead to significant increases in marginal carbon emissions, contingent upon the system's conditions concerning variations in renewable generation and interconnector flow. By quantifying these relationships, policymakers and stakeholders gain valuable insights for optimizing climate change mitigation strategies.","","979-8-3503-1683-4","10.1109/UPEC57427.2023.10294836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294836","carbon intensity;marginal emissions factor;generation mix;carbon reduction","Renewable energy sources;Climate change;Schedules;Power engineering;Fluctuations;Time series analysis;Government","","","","9","IEEE","1 Nov 2023","","","IEEE","IEEE Conferences"
"Assessing the Levelized Cost of Hydrogen Production in a Renewable Hydrogen Community in South Italy","A. Ciancio; L. De Santoli","Department of Astronautical, Electrical and Energy Engineering, Sapienza University of Rome, Rome, Italy; Department of Astronautical, Electrical and Energy Engineering, Sapienza University of Rome, Rome, Italy","2023 IEEE International Conference on Environment and Electrical Engineering and 2023 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe)","3 Aug 2023","2023","","","1","6","The need to address climate change requires a shift towards more sustainable energy systems with lower greenhouse gas emissions. The emergence of Distributed Energy Systems (DES) and Renewable Energy Communities (REC) are changing the way energy systems are planned, designed, and managed. REC can play an important role in the development of green hydrogen, which can be produced in a decentralized way and used as an energy vector for various applications, such as transport and energy storage. The aim of this research is to evaluate the cost of hydrogen in distributed energy systems. The province of Taranto was chosen as a case study to model various supply scenarios for a 100 kW electrolyzer for local hydrogen production to be used within a Renewable Hydrogen Community. The results show that the optimal supply mix consists of 150 kW of photovoltaic and 100 kW of onshore wind installations, resulting in an annual hydrogen production of 7,565 kgH2/yr, an excess of electrical energy produced of 27,686 kWh/yr, and a Levelized Cost of the produced Hydrogen (LCOH) of 3.82 €/kgH2. The study highlights the potential use of hydrogen in different sectors, contributing to the reduction of local CO2 emissions. Therefore, green hydrogen can contribute to creating a more flexible, decentralized, and sustainable energy system, promoting the transition to a low-carbon economy.","","979-8-3503-4743-2","10.1109/EEEIC/ICPSEurope57605.2023.10194654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10194654","Hydrogen;Smart Energy Systems;Power-to-Gas;Hydrogen Valley;Integrated Energy Systems;Sector coupling","Photovoltaic systems;Renewable energy sources;Electric potential;Costs;Green products;Europe;Production;Climate change;Energy management","","4","","27","IEEE","3 Aug 2023","","","IEEE","IEEE Conferences"
"Carbon Footprint Tracking Based on Non-intrusive Load Monitoring Technology","B. Xiao; W. Zhang; M. Liu; Y. Qi; W. Li","Electric Energy Measurement Branch, Electric Energy Measurement Branch of Inner Mongolia Power (Group) Co., Ltd., Hohhot, China; Electric Energy Measurement Branch, Electric Energy Measurement Branch of Inner Mongolia Power (Group) Co., Ltd., Hohhot, China; Electric Energy Measurement Branch, Electric Energy Measurement Branch of Inner Mongolia Power (Group) Co., Ltd., Hohhot, China; Electric Energy Measurement Branch, Electric Energy Measurement Branch of Inner Mongolia Power (Group) Co., Ltd., Hohhot, China; Key Laboratory of Control of Power Transmission and Conversion, Ministry of Education, Shanghai Jiao Tong University, Shanghai, China","2023 8th International Conference on Power and Renewable Energy (ICPRE)","20 Dec 2023","2023","","","1511","1515","With the growing concern for environmental sustainability and the need to mitigate climate change, accurately tracking carbon footprints has become crucial. This paper explores the use of NILM technology for carbon footprint tracking at the household level. A carbon footprint tracking model is proposed based on NILM technology. On this basis, the relationship between carbon footprint and NILM technology is explored. An example is designed to verify the validity of NILM technology in calculating carbon footprint. The simulation results show that the NILM technology can be used to track the carbon footprint at the household. Finally, the paper is summarized.","2768-0525","979-8-3503-2881-3","10.1109/ICPRE59655.2023.10353698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10353698","load disaggregation;carbon footprint;smart grid;green-oriented transition","Home appliances;Renewable energy sources;Load monitoring;Power demand;Simulation;Carbon dioxide;Carbon footprint;Climate change;Smart grids","","","","10","IEEE","20 Dec 2023","","","IEEE","IEEE Conferences"
"Optimal Power Control Grid-Connected Solar Farm with Battery storage system: Solar Farm in Cambodia","E. Khun; D. Zhang","School of Electrical Engineering, Guangxi University, Guangxi, China; School of Electrical Engineering, Guangxi University, Guangxi, China","2023 IEEE 5th Eurasia Conference on IOT, Communication and Engineering (ECICE)","12 Jan 2024","2023","","","902","905","The energy sector is one of the major contributors to climate change as power generation in many countries such as Cambodia relies on fossil fuels. Accordingly, the transition to renewable energy sources such as solar energy is essential for reducing greenhouse gas emissions and thereby, climate change mitigation. Recognizing this, the Royal Government of Cambodia (RGC) has increased the share of solar energy in the country’s energy production. In addition, increasing the share of solar-based renewable energy enhances energy security in Cambodia. However, solar energy faces problems such as instability and fluctuation, which have negative impacts on the electrical grid. Such issues occur when a sudden change occurs in the energy demand. Among different solutions, the battery storage system is needed to minimize solar photovoltaic (PV) power fluctuation and increase grid reliability. Yet, the investment in the battery storage system is still high, which affects the electricity price from solar farms. We proposed a method to smooth the solar PV power output from the solar farm by applying a Savitzky-Golay (SG) filter in the battery storage system and optimizing the battery size for cost savings. The Savitzky-Golay (SG) filter was suitable for smoothing solar PV output compared to other smoothing methods. MATLAB/Script was used for the simulation of the case study with real one-year data from the Kampong Speu solar farm in Cambodia. The result is useful for application in other contexts with similar condition","","979-8-3503-1469-4","10.1109/ECICE59523.2023.10383037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10383037","Solar farm;Climate change mitigation: Savtzhy-golay filter;Battery storage system;Kampong Speu solar farm","Renewable energy sources;Climate change;Smoothing methods;Fluctuations;Costs;Solar energy;Discharges (electric)","","","","19","IEEE","12 Jan 2024","","","IEEE","IEEE Conferences"
"Mitigation of Power Quality Issues with Solar PV Penetration into LV/MV Distribution System","B. Patel; N. Das; S. Islam","School of Engineering and Technology, Central Queensland University, Melbourne, VIC, Australia; School of Engineering and Technology, Central Queensland University, Melbourne, VIC, Australia; School of Science, Engineering and Information Technology, Federation University, Ballarat, VIC, Australia","2021 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia)","24 Feb 2022","2021","","","1","5","Over the last decades, solar photovoltaic (PV) system on the low and medium voltage distribution network is growing dramatically. The power grids are still facing the experience of more penetration to satisfy electricity demand of the consumer. Another reason for solar PV penetration is government subsidies for the customers, decreasing the capital cost of solar PV, feed-in-tariff and to balance the CO2 emission from the atmosphere. The integration of PV system in low voltage or medium voltage ((LV/MV) distribution networks is raising new challenges in terms of power quality (PQ). In the LV/MV distribution networks, PQ problems are voltage sag and swell are the most serious concern, and it occurs when residential renewable energy sources (i.e., solar PV) produce more energy than the local demand. As per the PQ studies, voltage sag/ swell issues in the LV/MV power grid considered to be the most common type of PQ issue. Impact of this type of issue on sensitive loads is harsh. Hence, different types of solution have been used to protect sensitive loads from such voltage problems, but the dynamic voltage restorer is to be considered, effective and efficient solution. Dynamic Voltage Restorer (DVR) is a series connected power electronic device which is used to alleviate the voltage sag/swell problem in the distribution system and restore the load voltage to the required value. Therefore, the main objective of this research project is to investigate and understand the impact of PQ issues in LV/MV distribution system and aim is to alleviate them. MATLAB / Simulink software is used to solve the PQ issues by designing battery supported DVR with energy storage systems. The performance of battery supported DVR is designed, simulated in MATLAB/Simulink software environment, and analysed in detail.","2378-8542","978-1-6654-3339-6","10.1109/ISGTAsia49270.2021.9715706","Central Queensland University, Australia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9715706","Distributed generation and network;Dynamic voltage restorer;Power grids;Power quality (PQ);PV penetration","Voltage fluctuations;Costs;Software packages;Power quality;Power system dynamics;Asia;Distribution networks","","","","15","IEEE","24 Feb 2022","","","IEEE","IEEE Conferences"
